Started 131. Target = 1000000
1. p=7, n=1 	 pix=4, nroot=1, xroot=2
102. p=292969, n=30371328 	 pix=25460, nroot=312, xroot=30468672
103. p=296731, n=30959144 	 pix=25750, nroot=314, xroot=31057740
104. p=298621, n=31255875 	 pix=25892, nroot=315, xroot=31355100
105. p=310087, n=33076161 	 pix=26807, nroot=321, xroot=33179202
106. p=329677, n=36264691 	 pix=28379, nroot=331, xroot=36374252
107. p=333667, n=36926037 	 pix=28693, nroot=333, xroot=37036926
108. p=337681, n=37595375 	 pix=29011, nroot=335, xroot=37707600
109. p=347821, n=39304000 	 pix=29802, nroot=340, xroot=39419600
110. p=351919, n=40001688 	 pix=30127, nroot=342, xroot=40118652
111. p=360187, n=41421736 	 pix=30770, nroot=346, xroot=41541452
112. p=368551, n=42875000 	 pix=31426, nroot=350, xroot=42997500
113. p=372769, n=43614208 	 pix=31729, nroot=352, xroot=43738112
114. p=374887, n=43986977 	 pix=31893, nroot=353, xroot=44111586
115. p=377011, n=44361864 	 pix=32070, nroot=354, xroot=44487180
116. p=383419, n=45499293 	 pix=32555, nroot=357, xroot=45626742
117. p=387721, n=46268279 	 pix=32890, nroot=359, xroot=46397160
118. p=398581, n=48228544 	 pix=33750, nroot=364, xroot=48361040
119. p=407377, n=49836032 	 pix=34403, nroot=368, xroot=49971456
120. p=423001, n=52734375 	 pix=35616, nroot=375, xroot=52875000
121. p=436627, n=55306341 	 pix=36694, nroot=381, xroot=55451502
122. p=452797, n=58411072 	 pix=37925, nroot=388, xroot=58561616
123. p=459817, n=59776471 	 pix=38449, nroot=391, xroot=59929352
124. p=476407, n=63044792 	 pix=39737, nroot=398, xroot=63203196
125. p=478801, n=63521199 	 pix=39914, nroot=399, xroot=63680400
126. p=493291, n=66430125 	 pix=41017, nroot=405, xroot=66594150
127. p=522919, n=72511713 	 pix=43291, nroot=417, xroot=72685602
128. p=527941, n=73560059 	 pix=43673, nroot=419, xroot=73735620
129. p=553411, n=78953589 	 pix=45577, nroot=429, xroot=79137630
130. p=574219, n=83453453 	 pix=47150, nroot=437, xroot=83644422
131. p=584767, n=85766121 	 pix=47944, nroot=441, xroot=85960602
132. p=590077, n=86938307 	 pix=48357, nroot=443, xroot=87134556
133. p=592741, n=87528384 	 pix=48550, nroot=444, xroot=87725520
134. p=595411, n=88121125 	 pix=48765, nroot=445, xroot=88319150
135. p=603457, n=89915392 	 pix=49358, nroot=448, xroot=90116096
136. p=608851, n=91125000 	 pix=49767, nroot=450, xroot=91327500
137. p=611557, n=91733851 	 pix=49973, nroot=451, xroot=91937252
138. p=619711, n=93576664 	 pix=50590, nroot=454, xroot=93782780
139. p=627919, n=95443993 	 pix=51190, nroot=457, xroot=95652842
140. p=650071, n=100544625 	 pix=52835, nroot=465, xroot=100760850
141. p=658477, n=102503232 	 pix=53451, nroot=468, xroot=102722256
142. p=666937, n=104487111 	 pix=54091, nroot=471, xroot=104708952
143. p=689761, n=109902239 	 pix=55790, nroot=479, xroot=110131680
144. p=692641, n=110592000 	 pix=56005, nroot=480, xroot=110822400
145. p=698419, n=111980168 	 pix=56438, nroot=482, xroot=112212492
146. p=707131, n=114084125 	 pix=57087, nroot=485, xroot=114319350
147. p=733591, n=120553784 	 pix=59050, nroot=494, xroot=120797820
148. p=742519, n=122763473 	 pix=59710, nroot=497, xroot=123010482
149. p=760537, n=127263527 	 pix=61021, nroot=503, xroot=127516536
150. p=769627, n=129554216 	 pix=61708, nroot=506, xroot=129810252
151. p=772669, n=130323843 	 pix=61934, nroot=507, xroot=130580892
152. p=784897, n=133432831 	 pix=62832, nroot=511, xroot=133693952
153. p=791047, n=135005697 	 pix=63289, nroot=513, xroot=135268866
154. p=812761, n=140608000 	 pix=64894, nroot=520, xroot=140878400
155. p=825301, n=143877824 	 pix=65823, nroot=524, xroot=144152400
Started 131. Target = 1000000
1. p=7, n=1 	 pix=4, nroot=1, xroot=2
2. p=19, n=8 	 pix=8, nroot=2, xroot=12
3. p=37, n=27 	 pix=12, nroot=3, xroot=36
4. p=61, n=64 	 pix=18, nroot=4, xroot=80
5. p=127, n=216 	 pix=31, nroot=6, xroot=252
